timestamp,edge_node,edge_node_location,provider,bytes,user_id,user_location,execution_time,subarea
70.72543148635671,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
144.97850404941533,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
206.54651507633224,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
215.0582797290555,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
229.16834553551251,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
308.81288389560507,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
372.0722322149354,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
444.76351817883113,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
452.3001072530772,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
466.6450891902383,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
507.29746865768,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,75591,1,"(777, 836)",843,
533.9227602693417,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
609.25765224328,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
662.234436859243,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
685.0557635918508,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
699.2549607306319,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
746.5280425549112,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
785.9511288468498,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,84988,3,"(969, 209)",1240,
815.8326565453341,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
856.0593756752828,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
897.5726624048903,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
910.0919780733394,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
981.5607718814343,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1049.2175947339297,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
1053.0579068924515,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1070.8026824919293,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,75591,1,"(777, 836)",843,
1115.0708729990904,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
1116.4600747436953,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1187.5092974910863,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1248.0888033663607,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
1270.6848409437252,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1312.971288847807,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
1354.520865255662,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1434.6299322822529,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1482.294681959063,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
1501.9317177488851,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1548.3639071123569,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,75591,1,"(777, 836)",843,
1560.6538712682445,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
1582.5165494702014,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1658.2485940423826,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1662.971650421856,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,84988,3,"(969, 209)",1240,
1721.0770246739835,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
1730.425011719614,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1805.4786984437376,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
1811.4644538319706,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1878.965524113202,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
1920.267897270196,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
1957.0444092369885,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
2004.7200320300508,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,66752,2,"(227, 824)",779,
2012.0511391497882,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,75591,1,"(777, 836)",843,
2040.3237574995317,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
2106.6680207128124,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,73419,0,"(555, 728)",839,
2119.13802587066,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
2195.0235107885846,0,"(610, 638)",bljanrlynpotkucyvdmfragabwhqeous,74051,4,"(370, 652)",2081,
